word,lemma,lemma1,mor,mor2,inCDI,aoa,category,lexical_class
cleaner,clean,clean,v,NA,FALSE,NA,NA,NA
cleaner,clean,clean,part,NA,FALSE,NA,NA,NA
cleaner,clean,clean,n,gerund,FALSE,NA,NA,NA
disappeared,disappear,dis+appear,v,dis,FALSE,NA,NA,NA
disappeared,disappear,dis+appear,part,dis,FALSE,NA,NA,NA
disappeared,disappeared,NA,NA,NA,FALSE,NA,NA,NA
duh,duh,duh,co,NA,FALSE,NA,NA,NA
feeding,feed,feed,n,NA,TRUE,26,action_words,verbs
feeding,feed,feed,v,NA,TRUE,26,action_words,verbs
feeding,feed,feed,part,NA,TRUE,26,action_words,verbs
feeding,feeding,NA,NA,NA,FALSE,NA,NA,NA
gorgeous,gorgeous,gorgeous,adj,NA,FALSE,NA,NA,NA
guacamole,guacamole,guacamole,n,NA,FALSE,NA,NA,NA
hurricanes,hurricane,hurricane,n,NA,FALSE,NA,NA,NA
lawnmower,lawnmower,NA,NA,NA,FALSE,NA,NA,NA
muscles,muscle,muscle,n,NA,FALSE,NA,NA,NA
seeing,see,see,v,NA,TRUE,23,action_words,verbs
seeing,see,see,co,NA,TRUE,23,action_words,verbs
seeing,see,see,part,NA,TRUE,23,action_words,verbs
seeing,seeing,NA,NA,NA,FALSE,NA,NA,NA
vacuum,vacuum,vacuum,n,NA,TRUE,24,household,nouns
vacuum,vacuum,vacuum,part,NA,TRUE,24,household,nouns
vacuum,vacuum,vacuum,v,NA,TRUE,24,household,nouns
floridas,floridas,floridas,n,prop,FALSE,NA,NA,NA
ballooning,ballooning,NA,NA,NA,FALSE,NA,NA,NA
ballooning,balloon,balloon,n,NA,TRUE,17,toys,nouns
ballooning,balloon,balloon,v,NA,TRUE,17,toys,nouns
ballooning,balloon,balloon,part,NA,TRUE,17,toys,nouns
begin,begin,begin,v,NA,FALSE,NA,NA,NA
bitter,bitter,bitter,adj,NA,FALSE,NA,NA,NA
bitter,bitter,bitter,sing,NA,FALSE,NA,NA,NA
chunk,chunk,chunk,n,NA,FALSE,NA,NA,NA
corner,corner,corner,n,NA,FALSE,NA,NA,NA
deliveries,delivery,delivery,n,NA,FALSE,NA,NA,NA
dollar,dollar,dollar,n,NA,FALSE,NA,NA,NA
dunking,dunk,dunk,v,NA,FALSE,NA,NA,NA
dunking,dunk,dunk,part,NA,FALSE,NA,NA,NA
dunking,dunking,NA,NA,NA,FALSE,NA,NA,NA
join,join,join,v,NA,FALSE,NA,NA,NA
ours,ours,ours,pro,poss,FALSE,NA,NA,NA
parties,party,party,n,NA,TRUE,26,places,other
parties,party,party,v,NA,TRUE,26,places,other
parts,part,part,n,NA,FALSE,NA,NA,NA
parts,part,part,adj,NA,FALSE,NA,NA,NA
parts,part,part,v,NA,FALSE,NA,NA,NA
quicker,quick,quick,n,NA,FALSE,NA,NA,NA
quicker,quick,quick,adv,NA,FALSE,NA,NA,NA
quicker,quick,quick,adj,NA,FALSE,NA,NA,NA
responsibility,responsibility,responsibility,n,NA,FALSE,NA,NA,NA
spreading,spread,spread,n,NA,FALSE,NA,NA,NA
spreading,spread,spread,part,NA,FALSE,NA,NA,NA
spreading,spread,spread,v,NA,FALSE,NA,NA,NA
spreading,spreading,NA,NA,NA,FALSE,NA,NA,NA
sugary,sugary,NA,NA,NA,FALSE,NA,NA,NA
sung,sing,sing,v,NA,TRUE,24,action_words,verbs
sung,sing,sing,part,NA,TRUE,24,action_words,verbs
sung,sing,sing,n,gerund,TRUE,24,action_words,verbs
sung,sung,NA,NA,NA,FALSE,NA,NA,NA
supposed,supposed,NA,NA,NA,FALSE,NA,NA,NA
supposed,suppose,suppose,part,NA,FALSE,NA,NA,NA
supposed,suppose,suppose,v,NA,FALSE,NA,NA,NA
tale,tale,tale,n,NA,FALSE,NA,NA,NA
cutie,cutie,cutie,n,prop,FALSE,NA,NA,NA
diddy,diddy,diddy,n,prop,FALSE,NA,NA,NA
jenny,jenny,jenny,n,prop,FALSE,NA,NA,NA
nickelodeon,nickelodeon,nickelodeon,n,prop,FALSE,NA,NA,NA
abide,abide,abide,v,NA,FALSE,NA,NA,NA
alive,alive,alive,adj,NA,FALSE,NA,NA,NA
anyone,anyone,anyone,pro,indef,FALSE,NA,NA,NA
ay,ay,ay,co,NA,FALSE,NA,NA,NA
backbone,backbone,backbone,n,NA,FALSE,NA,NA,NA
bracelet,bracelet,bracelet,n,NA,FALSE,NA,NA,NA
cabin,cabin,cabin,n,NA,FALSE,NA,NA,NA
carousel,carousel,carousel,n,NA,FALSE,NA,NA,NA
deep,deep,deep,n,NA,FALSE,NA,NA,NA
deep,deep,deep,on,NA,FALSE,NA,NA,NA
dreams,dream,dream,part,NA,FALSE,NA,NA,NA
dreams,dream,dream,n,NA,FALSE,NA,NA,NA
dreams,dream,dream,v,NA,FALSE,NA,NA,NA
grabbed,grab,grab,v,NA,FALSE,NA,NA,NA
grabbed,grab,grab,n,NA,FALSE,NA,NA,NA
grabbed,grab,grab,part,NA,FALSE,NA,NA,NA
junior,junior,junior,adj,NA,FALSE,NA,NA,NA
knocking,knock,knock,v,NA,TRUE,25,action_words,verbs
knocking,knock,knock,co,NA,TRUE,25,action_words,verbs
knocking,knock,knock,n,NA,TRUE,25,action_words,verbs
knocking,knock,knock,part,NA,TRUE,25,action_words,verbs
knocking,knocking,NA,NA,NA,FALSE,NA,NA,NA
married,married,NA,NA,NA,FALSE,NA,NA,NA
married,marry,marry,part,NA,FALSE,NA,NA,NA
married,marry,marry,v,NA,FALSE,NA,NA,NA
meals,meal,meal,n,NA,FALSE,NA,NA,NA
mollusks,mollusk,mollusk,n,NA,FALSE,NA,NA,NA
mollusks,mollusks,NA,NA,NA,FALSE,NA,NA,NA
nick,nick,nick,n,NA,FALSE,NA,NA,NA
patty,patty,patty,co,NA,FALSE,NA,NA,NA
patty,patty,patty,n,prop,FALSE,NA,NA,NA
portraits,portrait,portrait,n,NA,FALSE,NA,NA,NA
prancing,prance,prance,part,NA,FALSE,NA,NA,NA
prancing,prance,prance,v,NA,FALSE,NA,NA,NA
prancing,prancing,NA,NA,NA,FALSE,NA,NA,NA
rice,rice,rice,n,NA,FALSE,NA,NA,NA
sang,sing,sing,v,NA,TRUE,24,action_words,verbs
sang,sing,sing,part,NA,TRUE,24,action_words,verbs
sang,sing,sing,n,gerund,TRUE,24,action_words,verbs
sang,sang,NA,NA,NA,FALSE,NA,NA,NA
sharks,shark,shark,n,NA,FALSE,NA,NA,NA
squids,squid,squid,n,NA,FALSE,NA,NA,NA
stood,stand,stand,n,NA,TRUE,26,action_words,verbs
stood,stand,stand,v,NA,TRUE,26,action_words,verbs
stood,stand,stand,part,NA,TRUE,26,action_words,verbs
thins,thin,thin,adj,NA,FALSE,NA,NA,NA
thins,thin,thin,v,NA,FALSE,NA,NA,NA
tortillas,tortilla,tortilla,n,NA,FALSE,NA,NA,NA
vitamins,vitamins,vitamin,n,NA,TRUE,27,food_drink,nouns
nana,nana,nana,n,NA,FALSE,NA,NA,NA
nana,nana,nana,co,NA,FALSE,NA,NA,NA
spank,spank,spank,v,NA,FALSE,NA,NA,NA
violet,violet,violet,n,prop,FALSE,NA,NA,NA
baba,baba,baba,n,prop,FALSE,NA,NA,NA
biggy,biggy,NA,NA,NA,FALSE,NA,NA,NA
bigs,bigs,NA,NA,NA,FALSE,NA,NA,NA
dum,dum,dum,co,NA,FALSE,NA,NA,NA
dum,dum,dum,sing,NA,FALSE,NA,NA,NA
dum,dum,dum,wplay,NA,FALSE,NA,NA,NA
rainy,rainy,NA,NA,NA,FALSE,NA,NA,NA
choose,choose,choose,v,NA,FALSE,NA,NA,NA
choose,choose,choose,part,NA,FALSE,NA,NA,NA
barrier,barrier,barrier,n,prop,FALSE,NA,NA,NA
canyon,canyon,canyon,n,prop,FALSE,NA,NA,NA
falls,falls,falls,n,prop,FALSE,NA,NA,NA
golden,golden,golden,n,prop,FALSE,NA,NA,NA
golden,golden,golden,adj,NA,FALSE,NA,NA,NA
grand,grand,grand,n,prop,FALSE,NA,NA,NA
grand,grand,grand,adj,NA,FALSE,NA,NA,NA
leaning,lean,lean,part,NA,FALSE,NA,NA,NA
leaning,lean,lean,v,NA,FALSE,NA,NA,NA
liberty,liberty,liberty,n,NA,FALSE,NA,NA,NA
mahal,mahal,mahal,n,prop,FALSE,NA,NA,NA
niagara,niagara,niagara,n,prop,FALSE,NA,NA,NA
pisa,pisa,pisa,n,prop,FALSE,NA,NA,NA
reef,reef,reef,n,prop,FALSE,NA,NA,NA
taj,taj,taj,n,prop,FALSE,NA,NA,NA
bent,bend,bend,n,NA,FALSE,NA,NA,NA
bent,bend,bend,v,NA,FALSE,NA,NA,NA
bent,bent,NA,NA,NA,FALSE,NA,NA,NA
candies,candy,candy,n,NA,TRUE,22,food_drink,nouns
dam,dam,dam,adj,NA,FALSE,NA,NA,NA
dam,dam,dam,n,NA,FALSE,NA,NA,NA
hose,hose,hose,n,NA,TRUE,27,outside,nouns
men,man,man,n,NA,TRUE,25,people,other
men,men,NA,NA,NA,FALSE,NA,NA,NA
nip,nip,nip,n,NA,FALSE,NA,NA,NA
tights,tights,tights,n,pt,TRUE,NA,clothing,nouns
lamb,lamb,lamb,n,NA,TRUE,26,animals,nouns
catalogs,catalog,catalog,n,NA,FALSE,NA,NA,NA
costume,costume,costume,n,NA,FALSE,NA,NA,NA
costumes,costume,costume,n,NA,FALSE,NA,NA,NA
dollars,dollar,dollar,n,NA,FALSE,NA,NA,NA
huff,huff,huff,n,NA,FALSE,NA,NA,NA
dinky,dinky,dinky,adj,NA,FALSE,NA,NA,NA
none,none,none,pro,indef,TRUE,NA,quantifiers,function_words
numbers,number,number,n,NA,FALSE,NA,NA,NA
numbers,number,number,v,NA,FALSE,NA,NA,NA
pew,pew,pew,n,NA,FALSE,NA,NA,NA
porch,porch,porch,n,NA,TRUE,30,furniture_rooms,nouns
paul,paul,paul,n,prop,FALSE,NA,NA,NA
peter,peter,peter,n,prop,FALSE,NA,NA,NA
apron,apron,apron,n,NA,FALSE,NA,NA,NA
checker,checker,checker,n,NA,FALSE,NA,NA,NA
checkers,checker,checker,n,NA,FALSE,NA,NA,NA
dummy,dummy,dummy,adj,NA,FALSE,NA,NA,NA
hotdog,hotdog,NA,NA,NA,FALSE,NA,NA,NA
lullaby,lullaby,lullaby,n,NA,FALSE,NA,NA,NA
rainbows,rainbow,rain+bow,n,NA,FALSE,NA,NA,NA
muck,muck,muck,n,prop,FALSE,NA,NA,NA
angelfish,angelfish,NA,NA,NA,FALSE,NA,NA,NA
brain,brain,brain,n,NA,FALSE,NA,NA,NA
bum,bum,bum,n,NA,FALSE,NA,NA,NA
catching,catch,catch,v,NA,TRUE,25,action_words,verbs
catching,catch,catch,n,NA,TRUE,25,action_words,verbs
catching,catch,catch,part,NA,TRUE,25,action_words,verbs
catching,catching,NA,NA,NA,FALSE,NA,NA,NA
connect,connect,connect,v,NA,FALSE,NA,NA,NA
connect,connect,connect,part,NA,FALSE,NA,NA,NA
marker,marker,NA,NA,NA,FALSE,NA,NA,NA
maze,maze,maze,n,NA,FALSE,NA,NA,NA
mickey,mickey,mickey,n,NA,FALSE,NA,NA,NA
pecking,pecking,NA,NA,NA,FALSE,NA,NA,NA
pecking,peck,peck,n,NA,FALSE,NA,NA,NA
pecking,peck,peck,part,NA,FALSE,NA,NA,NA
puffin,puffin,puffin,n,NA,FALSE,NA,NA,NA
teacups,teacup,NA,NA,NA,FALSE,NA,NA,NA
teacups,teacups,NA,NA,NA,FALSE,NA,NA,NA
vampire,vampire,vampire,n,NA,FALSE,NA,NA,NA
volcano,volcano,volcano,n,NA,FALSE,NA,NA,NA
micky,micky,micky,n,prop,FALSE,NA,NA,NA
bathrobe,bathrobe,NA,NA,NA,FALSE,NA,NA,NA
cauldron,cauldron,cauldron,n,NA,FALSE,NA,NA,NA
glorious,glorious,glorious,adj,NA,FALSE,NA,NA,NA
huggy,huggy,NA,NA,NA,FALSE,NA,NA,NA
plug,plug,plug,part,NA,FALSE,NA,NA,NA
plug,plug,plug,v,NA,FALSE,NA,NA,NA
plug,plug,plug,n,NA,FALSE,NA,NA,NA
plugged,plug,plug,part,NA,FALSE,NA,NA,NA
plugged,plug,plug,v,NA,FALSE,NA,NA,NA
plugged,plug,plug,n,NA,FALSE,NA,NA,NA
plugged,plugged,NA,NA,NA,FALSE,NA,NA,NA
plugging,plug,plug,part,NA,FALSE,NA,NA,NA
plugging,plug,plug,v,NA,FALSE,NA,NA,NA
plugging,plug,plug,n,NA,FALSE,NA,NA,NA
plugging,plugging,NA,NA,NA,FALSE,NA,NA,NA
poked,poke,poke,v,NA,FALSE,NA,NA,NA
poked,poke,poke,part,NA,FALSE,NA,NA,NA
poked,poked,NA,NA,NA,FALSE,NA,NA,NA
roast,roast,roast,part,NA,FALSE,NA,NA,NA
roast,roast,roast,v,NA,FALSE,NA,NA,NA
roast,roast,roast,n,NA,FALSE,NA,NA,NA
talked,talk,talk,n,NA,TRUE,26,action_words,verbs
talked,talk,talk,part,NA,TRUE,26,action_words,verbs
talked,talk,talk,v,NA,TRUE,26,action_words,verbs
tool,tool,tool,n,NA,FALSE,NA,NA,NA
tool,tool,tool,adj,NA,FALSE,NA,NA,NA
using,use,use,v,NA,FALSE,NA,NA,NA
using,use,use,n,NA,FALSE,NA,NA,NA
using,use,use,part,NA,FALSE,NA,NA,NA
using,using,NA,NA,NA,FALSE,NA,NA,NA
pap,pap,pap,n,prop,FALSE,NA,NA,NA
broomstick,broomstick,NA,NA,NA,FALSE,NA,NA,NA
frying,frying,NA,NA,NA,FALSE,NA,NA,NA
frying,fry,fry,n,NA,FALSE,NA,NA,NA
frying,fry,fry,part,NA,FALSE,NA,NA,NA
frying,fry,fry,v,NA,FALSE,NA,NA,NA
handstand,handstand,handstand,n,NA,FALSE,NA,NA,NA
jamboree,jamboree,jamboree,n,NA,FALSE,NA,NA,NA
popsicles,popsicle,popsicle,n,NA,TRUE,25,food_drink,nouns
ugh,ugh,ugh,co,NA,FALSE,NA,NA,NA
chandelier,chandelier,chandelier,n,NA,FALSE,NA,NA,NA
collar,collar,collar,n,NA,FALSE,NA,NA,NA
decoration,decoration,decoration,n,NA,FALSE,NA,NA,NA
fierce,fierce,fierce,adj,NA,FALSE,NA,NA,NA
flipped,flip,flip,v,NA,FALSE,NA,NA,NA
flipped,flip,flip,adj,NA,FALSE,NA,NA,NA
flipped,flip,flip,part,NA,FALSE,NA,NA,NA
jumpy,jumpy,NA,NA,NA,FALSE,NA,NA,NA
kept,keep,keep,v,NA,FALSE,NA,NA,NA
kept,keep,keep,n,NA,FALSE,NA,NA,NA
kept,keep,keep,part,NA,FALSE,NA,NA,NA
kept,kept,NA,NA,NA,FALSE,NA,NA,NA
o'clock,o clock,o'clock,n,NA,FALSE,NA,NA,NA
poem,poem,poem,n,NA,FALSE,NA,NA,NA
pulled,pull,pull,v,NA,TRUE,26,action_words,verbs
pulled,pull,pull,part,NA,TRUE,26,action_words,verbs
pulled,pull,pull,n,gerund,TRUE,26,action_words,verbs
pulled,pulled,NA,NA,NA,FALSE,NA,NA,NA
sent,send,send,v,NA,FALSE,NA,NA,NA
sent,send,send,part,NA,FALSE,NA,NA,NA
sew,sew,sew,part,NA,FALSE,NA,NA,NA
sew,sew,sew,v,NA,FALSE,NA,NA,NA
signs,sign,sign,n,NA,FALSE,NA,NA,NA
signs,sign,sign,v,NA,FALSE,NA,NA,NA
signs,sign,sign,part,NA,FALSE,NA,NA,NA
trophy,trophy,trophy,n,NA,FALSE,NA,NA,NA
whistle,whistle,whistle,n,NA,FALSE,NA,NA,NA
whistle,whistle,whistle,part,NA,FALSE,NA,NA,NA
emma,emma,emma,n,prop,FALSE,NA,NA,NA
kermit,kermit,kermit,n,prop,FALSE,NA,NA,NA
mac,mac,mac,n,prop,FALSE,NA,NA,NA
carolers,caroler,NA,NA,NA,FALSE,NA,NA,NA
group,group,group,n,NA,FALSE,NA,NA,NA
group,group,group,part,NA,FALSE,NA,NA,NA
health,health,health,n,NA,FALSE,NA,NA,NA
insurance,insurance,insurance,n,NA,FALSE,NA,NA,NA
kabob,kabob,kabob,n,NA,FALSE,NA,NA,NA
lotion,lotion,lotion,n,NA,FALSE,NA,NA,NA
muppets,muppet,muppet,n,NA,FALSE,NA,NA,NA
pinecone,pinecone,pinecone,n,NA,FALSE,NA,NA,NA
rub,rub,rub,v,NA,FALSE,NA,NA,NA
rub,rub,rub,part,NA,FALSE,NA,NA,NA
rub,rub,rub,n,NA,FALSE,NA,NA,NA
stove,stove,stove,n,NA,TRUE,26,furniture_rooms,nouns
frosty,frosty,frosty,n,prop,FALSE,NA,NA,NA
rudolph,rudolph,rudolph,n,prop,FALSE,NA,NA,NA
bay,bay,bay,n,NA,FALSE,NA,NA,NA
chimney,chimney,chimney,n,NA,FALSE,NA,NA,NA
chorus,chorus,chorus,n,NA,FALSE,NA,NA,NA
hedgehog,hedgehog,hedgehog,n,NA,FALSE,NA,NA,NA
lid,lid,lid,n,NA,FALSE,NA,NA,NA
pipe,pipe,pipe,n,NA,FALSE,NA,NA,NA
punky,punky,NA,NA,NA,FALSE,NA,NA,NA
soul,soul,soul,n,NA,FALSE,NA,NA,NA
stocking,stock,stock,part,NA,FALSE,NA,NA,NA
stocking,stocking,NA,NA,NA,FALSE,NA,NA,NA
wished,wish,wish,n,NA,TRUE,NA,action_words,verbs
wished,wish,wish,v,NA,TRUE,NA,action_words,verbs
wondered,wonder,wonder,part,NA,FALSE,NA,NA,NA
wondered,wonder,wonder,adj,NA,FALSE,NA,NA,NA
wondered,wonder,wonder,v,NA,FALSE,NA,NA,NA
wrecked,wreck,wreck,v,NA,FALSE,NA,NA,NA
wrecked,wrecked,NA,NA,NA,FALSE,NA,NA,NA
ichabod,ichabod,ichabod,n,prop,FALSE,NA,NA,NA
bookcase,bookcase,bookcase,n,NA,FALSE,NA,NA,NA
downstairs,downstairs,downstairs,adv,NA,FALSE,NA,NA,NA
duff,duff,duff,n,NA,FALSE,NA,NA,NA
million,million,million,det,num,FALSE,NA,NA,NA
pushing,push,push,n,NA,TRUE,24,action_words,verbs
pushing,push,push,v,NA,TRUE,24,action_words,verbs
pushing,push,push,part,NA,TRUE,24,action_words,verbs
pushing,pushing,NA,NA,NA,FALSE,NA,NA,NA
skating,skate,skate,n,NA,TRUE,30,action_words,verbs
skating,skate,skate,part,NA,TRUE,30,action_words,verbs
skating,skate,skate,v,NA,TRUE,30,action_words,verbs
skating,skating,NA,NA,NA,FALSE,NA,NA,NA
stacked,stack,stack,part,NA,FALSE,NA,NA,NA
stacked,stacked,NA,NA,NA,FALSE,NA,NA,NA
stinky,stinky,NA,NA,NA,FALSE,NA,NA,NA
toothpaste,toothpaste,NA,NA,NA,FALSE,NA,NA,NA
treadmill,treadmill,treadmill,n,NA,FALSE,NA,NA,NA
wallet,wallet,wallet,n,NA,FALSE,NA,NA,NA
mitten,mittens,mitten,n,NA,TRUE,28,clothing,nouns
pegs,peg,peg,n,NA,FALSE,NA,NA,NA
swimsuit,swimsuit,NA,NA,NA,FALSE,NA,NA,NA
tadpole,tadpole,tadpole,n,NA,FALSE,NA,NA,NA
tying,tie,tie,n,NA,FALSE,NA,NA,NA
tying,tie,tie,v,NA,FALSE,NA,NA,NA
tying,tie,tie,part,NA,FALSE,NA,NA,NA
tying,tying,NA,NA,NA,FALSE,NA,NA,NA
untie,untie,un+tie,part,un,FALSE,NA,NA,NA
untie,untie,un+tie,v,un,FALSE,NA,NA,NA
videos,video,video,n,NA,FALSE,NA,NA,NA
dive,dive,dive,n,NA,FALSE,NA,NA,NA
dive,dive,dive,part,NA,FALSE,NA,NA,NA
dive,dive,dive,v,NA,FALSE,NA,NA,NA
laundry,laundry,laundry,n,NA,FALSE,NA,NA,NA
markers,marker,NA,NA,NA,FALSE,NA,NA,NA
pain,pain,pain,n,NA,FALSE,NA,NA,NA
second,second,second,n,NA,FALSE,NA,NA,NA
second,second,second,adj,NA,FALSE,NA,NA,NA
skipping,skip,skip,part,NA,FALSE,NA,NA,NA
skipping,skip,skip,n,NA,FALSE,NA,NA,NA
skipping,skip,skip,sing,NA,FALSE,NA,NA,NA
skipping,skip,skip,v,NA,FALSE,NA,NA,NA
skipping,skipping,NA,NA,NA,FALSE,NA,NA,NA
sliding,slide,slide,n,NA,FALSE,NA,NA,NA
sliding,slide,slide,v,NA,FALSE,NA,NA,NA
sliding,slide,slide,part,NA,FALSE,NA,NA,NA
sliding,sliding,NA,NA,NA,FALSE,NA,NA,NA
snowing,snow,snow,n,NA,TRUE,25,outside,nouns
snowing,snow,snow,v,NA,TRUE,25,outside,nouns
snowing,snow,snow,part,NA,TRUE,25,outside,nouns
snowing,snow,snow,adj,NA,TRUE,25,outside,nouns
maxwell,maxwell,maxwell,n,prop,FALSE,NA,NA,NA
bends,bend,bend,n,NA,FALSE,NA,NA,NA
bends,bend,bend,v,NA,FALSE,NA,NA,NA
brother,brother,brother,n,NA,TRUE,27,people,other
fuzzy,fuzzy,fuzzy,n,prop,FALSE,NA,NA,NA
hen,hen,hen,n,NA,TRUE,29,animals,nouns
kitchens,kitchen,kitchen,n,NA,TRUE,24,furniture_rooms,nouns
mini,mini,mini,adj,NA,FALSE,NA,NA,NA
mini,mini,mini,n,NA,FALSE,NA,NA,NA
polka,polka,polka,n,NA,FALSE,NA,NA,NA
